Formula,SMILES,Tot_atoms,Tot_nH_atoms,Dataset_no,Molecular_weight,IUPAC_chemname,Metalloid,EPISUITE,InChI_Code,InChI_Key,Boiling_Point,BP_basis,EPIsuite_output,MP,Basis,Life
C3H7O2P,C=CP(O)OC,13,6,4653,106.061,methyl hydrogen vinylphosphonite,N,C=CP(O)OC,"InChI=1S/C3H7O2P/c1-3-6(4)5-2/h3-4H,1H2,2H3",InChIKey=KXKJQRVVYYOXAP-UHFFFAOYSA-N,167.98,Pr,   167.98(BP est)    -35.12(MP est)      ----(BP exp)      ----(MP exp)  C=CP(O)OC ,-35.12,Pred,N
C3H7O2P,O=P(C=C)OC,13,6,4654,106.061,methyl vinylphosphinate,N,O=P(C=C)OC,"InChI=1S/C3H7O2P/c1-3-6(4)5-2/h3,6H,1H2,2H3",InChIKey=JBVDSGOAAVNQJC-UHFFFAOYSA-N,128.91,Pr,   128.91(BP est)    -58.75(MP est)      ----(BP exp)      ----(MP exp)  O=P(C=C)OC ,-58.75,Pred,N
C4H8FP,CPC(F)C=C,14,6,4656,106.08,(1-fluoroallyl)(methyl)phosphane,N,CPC(F)C=C,"InChI=1S/C4H8FP/c1-3-4(5)6-2/h3-4,6H,1H2,2H3",InChIKey=DINTVOCZCBOEIS-UHFFFAOYSA-N,48.45,Pr,    48.45(BP est)   -112.43(MP est)      ----(BP exp)      ----(MP exp)  CPC(F)C=C ,-112.43,Pred,N
C4H8FP,FC(PC=C)C,14,6,4657,106.08,(1-fluoroethyl)(vinyl)phosphane,N,FC(PC=C)C,"InChI=1S/C4H8FP/c1-3-6-4(2)5/h3-4,6H,1H2,2H3",InChIKey=ZGMBSOUBZGMGEF-UHFFFAOYSA-N,48.45,Pr,    48.45(BP est)   -112.43(MP est)      ----(BP exp)      ----(MP exp)  FC(PC=C)C ,-112.43,Pred,N
C4H8FP,CP(C)C(F)=C,14,6,4658,106.08,(1-fluorovinyl)dimethylphosphane,N,CP(C)C(F)=C,"InChI=1S/C4H8FP/c1-4(5)6(2)3/h1H2,2-3H3",InChIKey=RPDSWCFSZIDPBW-UHFFFAOYSA-N,57.97,Pr,    57.97(BP est)   -109.82(MP est)      ----(BP exp)      ----(MP exp)  CP(C)C(F)=C ,-109.82,Pred,N
C4H8FP,CPCC(F)=C,14,6,4659,106.08,(2-fluoroallyl)(methyl)phosphane,N,CPCC(F)=C,"InChI=1S/C4H8FP/c1-4(5)3-6-2/h6H,1,3H2,2H3",InChIKey=KJQBOFCTQNJRQH-UHFFFAOYSA-N,56.94,Pr,    56.94(BP est)   -109.43(MP est)      ----(BP exp)      ----(MP exp)  CPCC(F)=C ,-109.43,Pred,N
C4H8FP,FCCPC=C,14,6,4660,106.08,(2-fluoroethyl)(vinyl)phosphane,N,FCCPC=C,"InChI=1S/C4H8FP/c1-2-6-4-3-5/h2,6H,1,3-4H2",InChIKey=DPIWVRXMAIRJFV-UHFFFAOYSA-N,63.89,Pr,    63.89(BP est)   -100.42(MP est)      ----(BP exp)      ----(MP exp)  FCCPC=C ,-100.42,Pred,N
C4H8FP,CP(C)C=CF,14,6,4661,106.08,(2-fluorovinyl)dimethylphosphane,N,CP(C)C=CF,"InChI=1S/C4H8FP/c1-6(2)4-3-5/h3-4H,1-2H3",InChIKey=KSYZCRSQMVHABA-UHFFFAOYSA-N,74.53,Pr,    74.53(BP est)    -99.66(MP est)      ----(BP exp)      ----(MP exp)  CP(C)C=CF ,-99.66,Pred,N
C4H8FP,CPCC=CF,14,6,4662,106.08,(3-fluoroallyl)(methyl)phosphane,N,CPCC=CF,"InChI=1S/C4H8FP/c1-6-4-2-3-5/h2-3,6H,4H2,1H3",InChIKey=PDENDHFNRMHJMD-UHFFFAOYSA-N,73.53,Pr,    73.53(BP est)    -99.27(MP est)      ----(BP exp)      ----(MP exp)  CPCC=CF ,-99.27,Pred,N
C4H8FP,CP(CF)C=C,14,6,4663,106.08,(fluoromethyl)(methyl)(vinyl)phosphane,N,CP(CF)C=C,"InChI=1S/C4H8FP/c1-3-6(2)4-5/h3H,1,4H2,2H3",InChIKey=LISATDUEXVMHNE-UHFFFAOYSA-N,64.91,Pr,    64.91(BP est)   -100.81(MP est)      ----(BP exp)      ----(MP exp)  CP(CF)C=C ,-100.81,Pred,N
C4H8FP,FC(P1CC1)C,14,6,4664,106.08,1-(1-fluoroethyl)phosphirane,N,FC(P1CC1)C,"InChI=1S/C4H8FP/c1-4(5)6-2-3-6/h4H,2-3H2,1H3",InChIKey=XKLYEPSJUYGOAN-UHFFFAOYSA-N,60.85,Pr,    60.85(BP est)    -95.77(MP est)      ----(BP exp)      ----(MP exp)  FC(P1CC1)C ,-95.77,Pred,N
C4H8FP,FCCP1CC1,14,6,4665,106.08,1-(2-fluoroethyl)phosphirane,N,FCCP1CC1,InChI=1S/C4H8FP/c5-1-2-6-3-4-6/h1-4H2,InChIKey=YVDLSUCHDIDVQA-UHFFFAOYSA-N,76.03,Pr,    76.03(BP est)    -83.83(MP est)      ----(BP exp)      ----(MP exp)  FCCP1CC1 ,-83.83,Pred,N
C4H8FP,FCP1CCC1,14,6,4666,106.08,1-(fluoromethyl)phosphetane,N,FCP1CCC1,InChI=1S/C4H8FP/c5-4-6-2-1-3-6/h1-4H2,InChIKey=JSPNOTVMZZXAEI-UHFFFAOYSA-N,78.31,Pr,    78.31(BP est)    -84.93(MP est)      ----(BP exp)      ----(MP exp)  FCP1CCC1 ,-84.93,Pred,N
C4H8FP,FC1CP1CC,14,6,4667,106.08,1-ethyl-2-fluorophosphirane,N,FC1CP1CC,"InChI=1S/C4H8FP/c1-2-6-3-4(6)5/h4H,2-3H2,1H3",InChIKey=BXMWCZZFESJHAI-UHFFFAOYSA-N,68.78,Pr,    68.78(BP est)    -88.07(MP est)      ----(BP exp)      ----(MP exp)  FC1CP1CC ,-88.07,Pred,N
C4H8FP,CP1C(F)CC1,14,6,4668,106.08,2-fluoro-1-methylphosphetane,N,CP1C(F)CC1,"InChI=1S/C4H8FP/c1-6-3-2-4(6)5/h4H,2-3H2,1H3",InChIKey=OUXSHRIYUQJJDF-UHFFFAOYSA-N,71.08,Pr,    71.08(BP est)    -89.16(MP est)      ----(BP exp)      ----(MP exp)  CP1C(F)CC1 ,-89.16,Pred,N
C4H8FP,FC1CCCP1,14,6,4669,106.08,2-fluorophospholane,N,FC1CCCP1,"InChI=1S/C4H8FP/c5-4-2-1-3-6-4/h4,6H,1-3H2",InChIKey=SFMFMRSSRCFUSO-UHFFFAOYSA-N,72.37,Pr,    72.37(BP est)    -89.86(MP est)      ----(BP exp)      ----(MP exp)  FC1CCCP1 ,-89.86,Pred,N
C4H8FP,CP1CC(F)C1,14,6,4670,106.08,3-fluoro-1-methylphosphetane,N,CP1CC(F)C1,"InChI=1S/C4H8FP/c1-6-2-4(5)3-6/h4H,2-3H2,1H3",InChIKey=BJRZTKXUWHEJJT-UHFFFAOYSA-N,71.08,Pr,    71.08(BP est)    -89.16(MP est)      ----(BP exp)      ----(MP exp)  CP1CC(F)C1 ,-89.16,Pred,N
C4H8FP,FC1CPCC1,14,6,4671,106.08,3-fluorophospholane,N,FC1CPCC1,"InChI=1S/C4H8FP/c5-4-1-2-6-3-4/h4,6H,1-3H2",InChIKey=CTSGPNJTYFOPJW-UHFFFAOYSA-N,72.37,Pr,    72.37(BP est)    -89.86(MP est)      ----(BP exp)      ----(MP exp)  FC1CPCC1 ,-89.86,Pred,N
C4H8FP,FCPCC=C,14,6,4672,106.08,allyl(fluoromethyl)phosphane,N,FCPCC=C,"InChI=1S/C4H8FP/c1-2-3-6-4-5/h2,6H,1,3-4H2",InChIKey=FLFUZIONKRTKLA-UHFFFAOYSA-N,63.89,Pr,    63.89(BP est)   -100.42(MP est)      ----(BP exp)      ----(MP exp)  FCPCC=C ,-100.42,Pred,N
C4H8FP,CCPC(F)=C,14,6,4673,106.08,ethyl(1-fluorovinyl)phosphane,N,CCPC(F)=C,"InChI=1S/C4H8FP/c1-3-6-4(2)5/h6H,2-3H2,1H3",InChIKey=QQCCBBHSIVAHCO-UHFFFAOYSA-N,56.94,Pr,    56.94(BP est)   -109.43(MP est)      ----(BP exp)      ----(MP exp)  CCPC(F)=C ,-109.43,Pred,N
C4H8FP,CCPC=CF,14,6,4674,106.08,ethyl(2-fluorovinyl)phosphane,N,CCPC=CF,"InChI=1S/C4H8FP/c1-2-6-4-3-5/h3-4,6H,2H2,1H3",InChIKey=VSRNJNWHNAIOLA-UHFFFAOYSA-N,73.53,Pr,    73.53(BP est)    -99.27(MP est)      ----(BP exp)      ----(MP exp)  CCPC=CF ,-99.27,Pred,N
C4H11OP,O=P(CC)CC,17,6,4680,106.105,diethylphosphine oxide,N,O=P(CC)CC,"InChI=1S/C4H11OP/c1-3-6(5)4-2/h6H,3-4H2,1-2H3",InChIKey=GXXPZLPHLAKYLM-UHFFFAOYSA-N,129.73,Pr,   129.73(BP est)    -63.11(MP est)      ----(BP exp)      ----(MP exp)  O=P(CC)CC ,-63.11,Pred,N
C4H11OP,CP(CC)OC,17,6,4681,106.105,ethyl(methoxy)(methyl)phosphane,N,CP(CC)OC,"InChI=1S/C4H11OP/c1-4-6(3)5-2/h4H2,1-3H3",InChIKey=NPDUXQCXSJZNAV-UHFFFAOYSA-N,90.15,Pr,    90.15(BP est)    -81.74(MP est)      ----(BP exp)      ----(MP exp)  CP(CC)OC ,-81.74,Pred,N
C4H11OP,O=P(CC)(C)C,17,6,4682,106.105,ethyldimethylphosphine oxide,N,O=P(CC)(C)C,"InChI=1S/C4H11OP/c1-4-6(2,3)5/h4H2,1-3H3",InChIKey=DKPBGPGFLDMHRG-UHFFFAOYSA-N,127.61,Pr,   127.61(BP est)    -71.92(MP est)      ----(BP exp)      ----(MP exp)  O=P(CC)(C)C ,-71.92,Pred,N
C4H11OP,CCCPOC,17,6,4684,106.105,methoxy(propyl)phosphane,N,CCCPOC,"InChI=1S/C4H11OP/c1-3-4-6-5-2/h6H,3-4H2,1-2H3",InChIKey=CSPYLUUKDXAITR-UHFFFAOYSA-N,89.17,Pr,    89.17(BP est)    -81.34(MP est)      ----(BP exp)      ----(MP exp)  CCCPOC ,-81.34,Pred,N
C4H11OP,O=P(C)CCC,17,6,4685,106.105,methyl(propyl)phosphine oxide,N,O=P(C)CCC,"InChI=1S/C4H11OP/c1-3-4-6(2)5/h6H,3-4H2,1-2H3",InChIKey=WZXNKGZETHOXRN-UHFFFAOYSA-N,129.73,Pr,   129.73(BP est)    -63.11(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)CCC ,-63.11,Pred,N
C3H10NOP,O=P(C)(C)CN,16,6,4924,107.093,(aminomethyl)dimethylphosphine oxide,N,O=P(C)(C)CN,"InChI=1S/C3H10NOP/c1-6(2,5)3-4/h3-4H2,1-2H3",InChIKey=ICIFXJCUANDOQN-UHFFFAOYSA-N,164.31,Pr,   164.31(BP est)    -25.21(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)(C)CN ,-25.21,Pred,N
C2H2FO2P,O=P(C#CF)O,8,6,5008,108.008,(fluoroethynyl)phosphinic acid,N,O=P(C#CF)O,"InChI=1S/C2H2FO2P/c3-1-2-6(4)5/h6H,(H,4,5)",InChIKey=OCIGUPXSHGKIOR-UHFFFAOYSA-N,200.36,Pr,   200.36(BP est)     29.99(MP est)      ----(BP exp)      ----(MP exp)  O=P(C#CF)O ,29.99,Pred,N
C3H3F2P,PC(C#C)(F)F,9,6,5010,108.028,"(1,1-difluoroprop-2-yn-1-yl)phosphane",N,PC(C#C)(F)F,"InChI=1S/C3H3F2P/c1-2-3(4,5)6/h1H,6H2",InChIKey=HSWBAVBZZUYTAO-UHFFFAOYSA-N,48.1,Pr,    48.10(BP est)    -76.61(MP est)      ----(BP exp)      ----(MP exp)  PC(C#C)(F)F ,-76.61,Pred,N
C3H3F2P,PC(F)C#CF,9,6,5011,108.028,"(1,3-difluoroprop-2-yn-1-yl)phosphane",N,PC(F)C#CF,"InChI=1S/C3H3F2P/c4-2-1-3(5)6/h3H,6H2",InChIKey=UBSWBNAQRZYXGU-UHFFFAOYSA-N,67.77,Pr,    67.77(BP est)    -50.02(MP est)      ----(BP exp)      ----(MP exp)  PC(F)C#CF ,-50.02,Pred,N
C3H3F2P,FC(PC#C)F,9,6,5012,108.028,(difluoromethyl)(ethynyl)phosphane,N,FC(PC#C)F,"InChI=1S/C3H3F2P/c1-2-6-3(4)5/h1,3,6H",InChIKey=JNIVTICRNMCOLU-UHFFFAOYSA-N,36.01,Pr,    36.01(BP est)    -97.04(MP est)      ----(BP exp)      ----(MP exp)  FC(PC#C)F ,-97.04,Pred,N
C3H3F2P,FCPC#CF,9,6,5013,108.028,(fluoroethynyl)(fluoromethyl)phosphane,N,FCPC#CF,"InChI=1S/C3H3F2P/c4-1-2-6-3-5/h6H,3H2",InChIKey=NGLLTRRQCHGRGT-UHFFFAOYSA-N,61.27,Pr,    61.27(BP est)    -52.60(MP est)      ----(BP exp)      ----(MP exp)  FCPC#CF ,-52.6,Pred,N
C3H3F2P,FC1(F)C=CP1,9,6,5014,108.028,"2,2-difluoro-1,2-dihydrophosphete",N,FC1(F)C=CP1,"InChI=1S/C3H3F2P/c4-3(5)1-2-6-3/h1-2,6H",InChIKey=NZLOUYUHAVAHAN-UHFFFAOYSA-N,36.68,Pr,    36.68(BP est)    -91.53(MP est)      ----(BP exp)      ----(MP exp)  FC1(F)C=CP1 ,-91.53,Pred,N
C3H3F2P,FC1C(F)=CP1,9,6,5015,108.028,"2,3-difluoro-1,2-dihydrophosphete",N,FC1C(F)=CP1,"InChI=1S/C3H3F2P/c4-2-1-6-3(2)5/h1,3,6H",InChIKey=JEPATZYJFXWKII-UHFFFAOYSA-N,48.21,Pr,    48.21(BP est)    -93.85(MP est)      ----(BP exp)      ----(MP exp)  FC1C(F)=CP1 ,-93.85,Pred,N
C3H3F2P,FC1C=C(F)P1,9,6,5016,108.028,"2,4-difluoro-1,2-dihydrophosphete",N,FC1C=C(F)P1,"InChI=1S/C3H3F2P/c4-2-1-3(5)6-2/h1-2,6H",InChIKey=RZIMWNIXUAXNFW-UHFFFAOYSA-N,48.21,Pr,    48.21(BP est)    -93.85(MP est)      ----(BP exp)      ----(MP exp)  FC1C=C(F)P1 ,-93.85,Pred,N
C3H3F2P,FC1=C(CP1)F,9,6,5017,108.028,"3,4-difluoro-1,2-dihydrophosphete",N,FC1=C(CP1)F,"InChI=1S/C3H3F2P/c4-2-1-6-3(2)5/h6H,1H2",InChIKey=DRHOAQNZKCUIPE-UHFFFAOYSA-N,53.48,Pr,    53.48(BP est)    -83.93(MP est)      ----(BP exp)      ----(MP exp)  FC1=C(CP1)F ,-83.93,Pred,N
C2H5O3P,O=P(O)(C=C)O,11,6,5019,108.033,vinylphosphonic acid,N,O=P(O)(C=C)O,"InChI=1S/C2H5O3P/c1-2-6(3,4)5/h2H,1H2,(H2,3,4,5)",InChIKey=ZTWTYVWXUKTLCP-UHFFFAOYSA-N,264.3,Pr,   264.30(BP est)     16.66(MP est)      ----(BP exp)     41.00(MP exp)  O=P(O)(C=C)O ,41,Expt,N
C3H6FOP,O=PC(F)CC,12,6,5021,108.052,(1-fluoropropyl)(oxo)phosphane,N,O=PC(F)CC,"InChI=1S/C3H6FOP/c1-2-3(4)6-5/h3H,2H2,1H3",InChIKey=FHRMSDPTTIKBOQ-UHFFFAOYSA-N,96.52,Pr,    96.52(BP est)    -77.47(MP est)      ----(BP exp)      ----(MP exp)  O=PC(F)CC ,-77.47,Pred,N
C3H6FOP,FC(POC)=C,12,6,5023,108.052,(1-fluorovinyl)(methoxy)phosphane,N,FC(POC)=C,"InChI=1S/C3H6FOP/c1-3(4)6-5-2/h6H,1H2,2H3",InChIKey=BWJZXFDTXGKGKS-UHFFFAOYSA-N,57.94,Pr,    57.94(BP est)   -103.66(MP est)      ----(BP exp)      ----(MP exp)  FC(POC)=C ,-103.66,Pred,N
C3H6FOP,O=P(C)C(F)=C,12,6,5024,108.052,(1-fluorovinyl)(methyl)phosphine oxide,N,O=P(C)C(F)=C,"InChI=1S/C3H6FOP/c1-3(4)6(2)5/h6H,1H2,2H3",InChIKey=BYTHEBUDCZTHLI-UHFFFAOYSA-N,100.43,Pr,   100.43(BP est)    -84.87(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)C(F)=C ,-84.87,Pred,N
C3H6FOP,O=PCC(F)C,12,6,5026,108.052,(2-fluoropropyl)(oxo)phosphane,N,O=PCC(F)C,"InChI=1S/C3H6FOP/c1-3(4)2-6-5/h3H,2H2,1H3",InChIKey=YQIHFQPQFLOOAI-UHFFFAOYSA-N,96.52,Pr,    96.52(BP est)    -77.47(MP est)      ----(BP exp)      ----(MP exp)  O=PCC(F)C ,-77.47,Pred,N
C3H6FOP,FC=CPOC,12,6,5028,108.052,(2-fluorovinyl)(methoxy)phosphane,N,FC=CPOC,"InChI=1S/C3H6FOP/c1-5-6-3-2-4/h2-3,6H,1H3",InChIKey=WUIBMGSPZNCELX-UHFFFAOYSA-N,74.5,Pr,    74.50(BP est)    -93.51(MP est)      ----(BP exp)      ----(MP exp)  FC=CPOC ,-93.51,Pred,N
C3H6FOP,O=P(C)C=CF,12,6,5029,108.052,(2-fluorovinyl)(methyl)phosphine oxide,N,O=P(C)C=CF,"InChI=1S/C3H6FOP/c1-6(5)3-2-4/h2-3,6H,1H3",InChIKey=XBQIXZLBQXLURC-UHFFFAOYSA-N,115.98,Pr,   115.98(BP est)    -75.01(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)C=CF ,-75.01,Pred,N
C3H6FOP,O=PCCCF,12,6,5031,108.052,(3-fluoropropyl)(oxo)phosphane,N,O=PCCCF,InChI=1S/C3H6FOP/c4-2-1-3-6-5/h1-3H2,InChIKey=TWDMOFYAAWHCMZ-UHFFFAOYSA-N,110.91,Pr,   110.91(BP est)    -65.76(MP est)      ----(BP exp)      ----(MP exp)  O=PCCCF ,-65.76,Pred,N
C3H6FOP,O=P(CF)C=C,12,6,5033,108.052,(fluoromethyl)(vinyl)phosphine oxide,N,O=P(CF)C=C,"InChI=1S/C3H6FOP/c1-2-6(5)3-4/h2,6H,1,3H2",InChIKey=KRZIQIJKJPPZLG-UHFFFAOYSA-N,106.95,Pr,   106.95(BP est)    -75.99(MP est)      ----(BP exp)      ----(MP exp)  O=P(CF)C=C ,-75.99,Pred,N
C3H6FOP,O=P1(CF)CC1,12,6,5034,108.052,1-(fluoromethyl)phosphirane 1-oxide,N,O=P1(CF)CC1,InChI=1S/C3H6FOP/c4-3-6(5)1-2-6/h1-3H2,InChIKey=QTLILAFIZVXHCW-UHFFFAOYSA-N,115.23,Pr,   115.23(BP est)    -68.03(MP est)      ----(BP exp)      ----(MP exp)  O=P1(CF)CC1 ,-68.03,Pred,N
C3H6FOP,FC1CP1OC,12,6,5035,108.052,2-fluoro-1-methoxyphosphirane,N,FC1CP1OC,"InChI=1S/C3H6FOP/c1-5-6-2-3(6)4/h3H,2H2,1H3",InChIKey=IDYWDKGYZZZTTN-UHFFFAOYSA-N,69.75,Pr,    69.75(BP est)    -82.31(MP est)      ----(BP exp)      ----(MP exp)  FC1CP1OC ,-82.31,Pred,N
C3H6FOP,O=P1(C)C(F)C1,12,6,5036,108.052,2-fluoro-1-methylphosphirane 1-oxide,N,O=P1(C)C(F)C1,"InChI=1S/C3H6FOP/c1-6(5)2-3(6)4/h3H,2H2,1H3",InChIKey=ALADESHQMURUJF-UHFFFAOYSA-N,108.39,Pr,   108.39(BP est)    -72.14(MP est)      ----(BP exp)      ----(MP exp)  O=P1(C)C(F)C1 ,-72.14,Pred,N
C3H6FOP,O=P1C(F)CC1,12,6,5038,108.052,2-fluorophosphetane 1-oxide,N,O=P1C(F)CC1,"InChI=1S/C3H6FOP/c4-3-1-2-6(3)5/h3,6H,1-2H2",InChIKey=CLTNJHQBHKDRPJ-UHFFFAOYSA-N,112.74,Pr,   112.74(BP est)    -64.45(MP est)      ----(BP exp)      ----(MP exp)  O=P1C(F)CC1 ,-64.45,Pred,N
C3H6FOP,O=P1CC(F)C1,12,6,5040,108.052,3-fluorophosphetane 1-oxide,N,O=P1CC(F)C1,"InChI=1S/C3H6FOP/c4-3-1-6(5)2-3/h3,6H,1-2H2",InChIKey=LEROSBOGVMWKCR-UHFFFAOYSA-N,112.74,Pr,   112.74(BP est)    -64.45(MP est)      ----(BP exp)      ----(MP exp)  O=P1CC(F)C1 ,-64.45,Pred,N
C3H9O2P,O=P(C)(C)CO,15,6,5044,108.077,(hydroxymethyl)dimethylphosphine oxide,N,O=P(C)(C)CO,"InChI=1S/C3H9O2P/c1-6(2,5)3-4/h4H,3H2,1-2H3",InChIKey=RQOKIVVUNQCMJS-UHFFFAOYSA-N,187.24,Pr,   187.24(BP est)    -29.74(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)(C)CO ,-29.74,Pred,N
C3H9O2P,CP(OC)OC,15,6,5045,108.077,dimethyl methylphosphonite,N,CP(OC)OC,InChI=1S/C3H9O2P/c1-4-6(3)5-2/h1-3H3,InChIKey=ZXMSTCRBSAVFDO-UHFFFAOYSA-N,91.1,Pr,    91.10(BP est)    -75.99(MP est)      ----(BP exp)      ----(MP exp)  CP(OC)OC ,-75.99,Pred,N
C3H9O2P,CP(O)OCC,15,6,5046,108.077,ethyl hydrogen methylphosphonite,N,CP(O)OCC,"InChI=1S/C3H9O2P/c1-3-5-6(2)4/h4H,3H2,1-2H3",InChIKey=GZBQGSURWYXEQF-UHFFFAOYSA-N,169.57,Pr,   169.57(BP est)    -33.78(MP est)      ----(BP exp)      ----(MP exp)  CP(O)OCC ,-33.78,Pred,N
C3H9O2P,O=P(C)OCC,15,6,5047,108.077,ethyl methylphosphinate,N,O=P(C)OCC,"InChI=1S/C3H9O2P/c1-3-5-6(2)4/h6H,3H2,1-2H3",InChIKey=DYMNYAUKLJWAIE-UHFFFAOYSA-N,130.62,Pr,   130.62(BP est)    -57.38(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)OCC ,-57.38,Pred,N
C3H9O2P,O=P(O)(C)CC,15,6,5048,108.077,ethyl(methyl)phosphinic acid,N,O=P(O)(C)CC,"InChI=1S/C3H9O2P/c1-3-6(2,4)5/h3H2,1-2H3,(H,4,5)",InChIKey=NXHKQBCTZHECQF-UHFFFAOYSA-N,202.06,Pr,   202.06(BP est)    -25.41(MP est)      ----(BP exp)      ----(MP exp)  O=P(O)(C)CC ,-25.41,Pred,N
C3H9O2P,O=P(OC)(C)C,15,6,5050,108.077,methyl dimethylphosphinate,N,O=P(OC)(C)C,"InChI=1S/C3H9O2P/c1-5-6(2,3)4/h1-3H3",InChIKey=HAXBLJDZJKJLHZ-UHFFFAOYSA-N,128.51,Pr,   128.51(BP est)    -66.18(MP est)      ----(BP exp)      ----(MP exp)  O=P(OC)(C)C ,-66.18,Pred,N
C3H9O2P,O=P(CC)OC,15,6,5051,108.077,methyl ethylphosphinate,N,O=P(CC)OC,"InChI=1S/C3H9O2P/c1-3-6(4)5-2/h6H,3H2,1-2H3",InChIKey=UKYDHJFIABBUJB-UHFFFAOYSA-N,130.62,Pr,   130.62(BP est)    -57.38(MP est)      ----(BP exp)      ----(MP exp)  O=P(CC)OC ,-57.38,Pred,N
C3H9O2P,CCP(O)OC,15,6,5052,108.077,methyl hydrogen ethylphosphonite,N,CCP(O)OC,"InChI=1S/C3H9O2P/c1-3-6(4)5-2/h4H,3H2,1-2H3",InChIKey=IOUCBORLVPPCKY-UHFFFAOYSA-N,169.57,Pr,   169.57(BP est)    -33.78(MP est)      ----(BP exp)      ----(MP exp)  CCP(O)OC ,-33.78,Pred,N
C3H9O2P,O=P(CCC)O,15,6,5053,108.077,propylphosphinic acid,N,O=P(CCC)O,"InChI=1S/C3H9O2P/c1-2-3-6(4)5/h6H,2-3H2,1H3,(H,4,5)",InChIKey=DGLXNOJGOHKWTN-UHFFFAOYSA-N,203.89,Pr,   203.89(BP est)    -16.69(MP est)      ----(BP exp)      ----(MP exp)  O=P(CCC)O ,-16.69,Pred,N
C3H9O2P,CCCP(O)O,15,6,5054,108.077,propylphosphonous acid,N,CCCP(O)O,"InChI=1S/C3H9O2P/c1-2-3-6(4)5/h4-5H,2-3H2,1H3",InChIKey=MWBOOFOIEFTTHB-UHFFFAOYSA-N,237.34,Pr,   237.34(BP est)      5.30(MP est)      ----(BP exp)      ----(MP exp)  CCCP(O)O ,5.3,Pred,N
C4H10FP,CP(C)C(F)C,16,6,5055,108.096,(1-fluoroethyl)dimethylphosphane,N,CP(C)C(F)C,"InChI=1S/C4H10FP/c1-4(5)6(2)3/h4H,1-3H3",InChIKey=KUURVGZVTYDIJF-UHFFFAOYSA-N,51.42,Pr,    51.42(BP est)   -111.37(MP est)      ----(BP exp)      ----(MP exp)  CP(C)C(F)C ,-111.37,Pred,N
C4H10FP,CPC(F)CC,16,6,5056,108.096,(1-fluoropropyl)(methyl)phosphane,N,CPC(F)CC,"InChI=1S/C4H10FP/c1-3-4(5)6-2/h4,6H,3H2,1-2H3",InChIKey=GLTHSIHPOHAPDS-UHFFFAOYSA-N,50.38,Pr,    50.38(BP est)   -110.99(MP est)      ----(BP exp)      ----(MP exp)  CPC(F)CC ,-110.99,Pred,N
C4H10FP,CP(C)CCF,16,6,5057,108.096,(2-fluoroethyl)dimethylphosphane,N,CP(C)CCF,"InChI=1S/C4H10FP/c1-6(2)4-3-5/h3-4H2,1-2H3",InChIKey=CEZHYUWLTHLUIO-UHFFFAOYSA-N,66.8,Pr,    66.80(BP est)    -99.38(MP est)      ----(BP exp)      ----(MP exp)  CP(C)CCF ,-99.38,Pred,N
C4H10FP,CPCC(F)C,16,6,5058,108.096,(2-fluoropropyl)(methyl)phosphane,N,CPCC(F)C,"InChI=1S/C4H10FP/c1-4(5)3-6-2/h4,6H,3H2,1-2H3",InChIKey=SQVFLRJDKAOUSW-UHFFFAOYSA-N,50.38,Pr,    50.38(BP est)   -110.99(MP est)      ----(BP exp)      ----(MP exp)  CPCC(F)C ,-110.99,Pred,N
C4H10FP,CPCCCF,16,6,5059,108.096,(3-fluoropropyl)(methyl)phosphane,N,CPCCCF,"InChI=1S/C4H10FP/c1-6-4-2-3-5/h6H,2-4H2,1H3",InChIKey=NKBQWIZGONNIIB-UHFFFAOYSA-N,65.79,Pr,    65.79(BP est)    -98.99(MP est)      ----(BP exp)      ----(MP exp)  CPCCCF ,-98.99,Pred,N
C4H10FP,FCPCCC,16,6,5060,108.096,(fluoromethyl)(propyl)phosphane,N,FCPCCC,"InChI=1S/C4H10FP/c1-2-3-6-4-5/h6H,2-4H2,1H3",InChIKey=VYOYRKAFUGPTTD-UHFFFAOYSA-N,65.79,Pr,    65.79(BP est)    -98.99(MP est)      ----(BP exp)      ----(MP exp)  FCPCCC ,-98.99,Pred,N
C4H10FP,CCPC(F)C,16,6,5061,108.096,ethyl(1-fluoroethyl)phosphane,N,CCPC(F)C,"InChI=1S/C4H10FP/c1-3-6-4(2)5/h4,6H,3H2,1-2H3",InChIKey=RIIKRQARGIEXOX-UHFFFAOYSA-N,50.38,Pr,    50.38(BP est)   -110.99(MP est)      ----(BP exp)      ----(MP exp)  CCPC(F)C ,-110.99,Pred,N
C4H10FP,CCPCCF,16,6,5062,108.096,ethyl(2-fluoroethyl)phosphane,N,CCPCCF,"InChI=1S/C4H10FP/c1-2-6-4-3-5/h6H,2-4H2,1H3",InChIKey=QSZQIJGHGCLBPC-UHFFFAOYSA-N,65.79,Pr,    65.79(BP est)    -98.99(MP est)      ----(BP exp)      ----(MP exp)  CCPCCF ,-98.99,Pred,N
